UMLS_pt,UMLS_pt_UI,pt
Swelling of eyelid,C0560024,Product prescribing error
Contusion of liver,C0347632,Swelling of eyelid
Stoma site hypergranulation,C3888886,Liver contusion
Poor quality product administered,C4728008,Stoma site hypergranulation
Product administration error,C4728060,Poor quality product administered
Incorrect product administration duration,C4728065,Product administration error
Morning Sickness,C0312416,Incorrect product administration duration
Stoma site oedema,C3888494,Morning sickness
Product residue present,C4727945,Stoma site oedema
Skin laceration,C0558401,Product residue present
Acral overgrowth,C1735881,Skin laceration
Contraindicated product prescribed,C4728180,Acral overgrowth
Incorrect route of product administration,C4727888,Contraindicated product prescribed
Carbon monoxide diffusing capacity measurement,C0199525,Incorrect route of product administration
Monocytosis,C0085702,Carbon monoxide diffusing capacity
Myelocytes present,C0555106,Monocytosis
Adult T-cell lymphoma/leukaemia recurrent,C0280427,Myelocyte present
Uveal melanoma,C0220633,Adult T-cell lymphoma/leukaemia
Malignant tumor of eye,C0496836,Intraocular melanoma
Chronic lymphocytic leukaemia transformation,C1142081,Malignant neoplasm of eye
Pseudo-Bartter syndrome,C0853277,Chronic lymphocytic leukaemia transformation
Urate nephropathy,C2955673,Pseudo-Bartter syndrome
Steroid diabetes,C4728187,Urate nephropathy
Basilar Artery Stenosis,C0265097,Steroid diabetes
Fourth cranial nerve paresis,C0271375,Basilar artery stenosis
Chorioretinitis,C0008513,IVth nerve paralysis
"Lymphohistiocytosis, Hemophagocytic",C0024291,Chorioretinitis
Compulsive hoarding,C0424290,Haemophagocytic lymphohistiocytosis
Compulsive shopping,C2242575,Compulsive hoarding
Excoriation Disorder,C1696701,Compulsive shopping
Behavioral and psychological symptoms of dementia,C4285807,Dermatillomania
Trichotillomania,C0040953,Neuropsychiatric symptoms
Increased urine urobilinogen,C2938867,Trichotillomania
Motor Neuron Disease,C0085084,Urobilinogen urine increased
Pericarditis malignant,C0852945,Motor neurone disease
General physical condition decreased,C4727884,Pericarditis malignant
Environmental Exposure,C0014412,General physical condition decreased
Anti factor VIII antibody positive,C0877115,Environmental exposure
Autoimmune arthritis,C3160909,Anti factor VIII antibody positive
Product dispensing error,C4552144,Autoimmune arthritis
Dental Plaque,C0011389,Product dispensing error
Body Substance Discharge,C2926602,Dental plaque
Partial Paralysis (Paresis) Vocal Cords,C0751576,Discharge
Bronchopleural Fistula,C0238132,Vocal cord paresis
Hypocapnia,C0085383,Bronchopleural fistula
Eye opacity,C4285774,Hypocapnia
Urethral perforation,C1697751,Eye opacity
Catheter site warmth,C3665847,Urethral perforation
Pleural Infection,C0919907,Catheter site warmth
Intestinal transit time abnormal,C3805082,Pleural infection
Salivary gland cancer stage IV,C0278992,Intestinal transit time abnormal
Burn infection,C0548923,Salivary gland cancer stage IV
Mechanical ileus,C0400843,Burn infection
Product complaint,C2747919,Mechanical ileus
Device extrusion,C0854675,Product complaint
Radial nerve compression,C0393888,Device extrusion
Lung cyst,C0546483,Radial nerve compression
Urine Albumin Test,C0042038,Lung cyst
Root canal infection,C3854422,Albumin urine
Stubbornness,C1696114,Root canal infection
Adenocarcinoma of large intestine,C1319315,Stubbornness
Vascular resistance systemic increased,C0853061,Colorectal adenocarcinoma
Incision site cellulitis,C1535940,Vascular resistance systemic
Product administered to patient of inappropriate age,C4728062,Incision site cellulitis
Autoimmune myocarditis,C1608389,Product administered to patient of inappropriate age
Pleocytosis,C0151857,Autoimmune myocarditis
Aneurysm of celiac artery,C0264969,Pleocytosis
Supine hypertension,C4076686,Coeliac artery aneurysm
Esophageal motility disorders,C0014858,Supine hypertension
Cystic Disease Of Lung,C1384901,Oesophageal motility disorder
Psychotic symptom,C0871189,Cystic lung disease
Post-Traumatic Headache,C0032816,Psychotic symptom
Metapneumovirus infection,C1736136,Post-traumatic headache
Excessive skin,C1399774,Metapneumovirus infection
Urine magnesium increased,C3203526,Excessive skin
Herpes zoster necrotising retinopathy,C3665886,Urine magnesium increased
Prostate cancer recurrent,C0278838,Herpes zoster necrotising retinopathy
Abnormal fetal heart rate,C0730018,Prostate cancer recurrent
Euglycaemic diabetic ketoacidosis,C4524093,Foetal heart rate abnormal
Pleurocutaneous fistula,C0877037,Euglycaemic diabetic ketoacidosis
Paratracheal lymphadenopathy,C0520744,Pleurocutaneous fistula
Lymphoblastic lymphoma (Precursor B-lymphoblastic lymphoma/leukemia),C0861294,Paratracheal lymphadenopathy
"Hematoma, Basal Ganglia",C1956233,Precursor B-lymphoblastic lymphoma
Electrocardiogram QT interval normal,C0853831,Basal ganglia haematoma
Cartilage hypertrophy,C0333969,Electrocardiogram QT interval
Nasal adhesions,C1386410,Cartilage hypertrophy
Paranasal sinus injury,C4285838,Nasal adhesions
Gitelman Syndrome,C0268450,Paranasal sinus injury
Listeraemia,C4552264,Gitelman's syndrome
Obstruction of precerebral artery,C0265090,Listeraemia
Urine albumin/creatinine ratio decreased,C1096059,Precerebral artery occlusion
Recalled product administered,C4728040,Urine albumin/creatinine ratio decreased
Mucous membrane hyperplasia,C0521483,Recalled product administered
Withdrawal catatonia,C4552324,Mucosal membrane hyperplasia
Ankyloglossia,C0152415,Withdrawal catatonia
Cephalhematoma due to birth trauma,C0007722,Ankyloglossia congenital
Plagiocephaly,C0265529,Cephalhaematoma
Lung squamous cell carcinoma recurrent,C0854989,Plagiocephaly
Bandemia,C0741439,Lung squamous cell carcinoma recurrent
Infective exacerbation of bronchiectasis,C2748249,Bandaemia
Intensive care unit acquired weakness,C4087120,Infective exacerbation of bronchiectasis
Hemorrhagic stomatitis,C0392189,Intensive care unit acquired weakness
Oesophageal squamous cell carcinoma recurrent,C0854769,Stomatitis haemorrhagic
Bone Marrow Transplantation,C0005961,Oesophageal squamous cell carcinoma
Gene mutation identification test positive,C1504360,Bone marrow transplant
Procoagulant therapy,C1697920,Gene mutation identification test positive
Necrotising oesophagitis,C0948777,Procoagulant therapy
Carbon Monoxide Poisoning,C0007020,Necrotising oesophagitis
Periorbital swelling,C0424810,Carbon monoxide poisoning
Critical Illness,C0010340,Periorbital swelling
Internal limiting membrane peeling,C3544111,Critical illness
Incorrect product formulation administered,C3854358,Internal limiting membrane peeling
Neonatal necrotizing enterocolitis,C1442826,Incorrect product formulation administered
Hernia of abdominal cavity,C0178282,Necrotising enterocolitis neonatal
Scan abnormal,C0855559,Internal hernia
Soft tissue mass,C0457193,Scan abnormal
Symblepharon,C0152454,Soft tissue mass
Vitamin B12 deficiency anemia,C2004521,Symblepharon
Mucocutaneous ulcer,C0521478,Anaemia vitamin B12 deficiency
Immunoglobulin below reference range,C0151728,Mucocutaneous ulceration
Bacterial keratitis,C0854211,Immunoglobulins decreased
Tic disorder,C0040188,Keratitis bacterial
Hematoma of lung,C1096647,Tic
Immunoglobulin G4-Related Disease,C4087124,Pulmonary haematoma
Metastases to muscle,C0877297,Immunoglobulin G4 related disease
Rash follicular,C0234916,Metastases to muscle
Cystopexy,C0194501,Rash follicular
Blood erythropoietin increased,C1096704,Urinary bladder suspension
Mean cell haemoglobin concentration decreased,C0855786,Blood erythropoietin increased
Retinoic acid syndrome,C0860564,Mean cell haemoglobin concentration decreased
Respiratory tract procedural complication,C4727929,Differentiation syndrome
Marginal Zone B-Cell Lymphoma,C1367654,Respiratory tract procedural complication
B-lymphocyte count decreased,C0948021,Marginal zone lymphoma
Anisocoria,C0003079,B-lymphocyte count decreased
Congenital anomaly of artery,C0265935,Pupils unequal
Vascular malformation peripheral,C0340797,Congenital arterial malformation
abdominal wall wound,C2237640,Vascular malformation
Rebound acid hypersecretion,C4728118,Abdominal wall wound
Angiofibroma,C0206731,Rebound acid hypersecretion
Retinal Vascular Disorder,C0154833,Angiofibroma
"Dendritic Cell Sarcoma, Follicular",C1260325,Retinal vascular disorder
Toxic goiter,C0600086,Follicular dendritic cell sarcoma
Decreased basophil count,C0855987,Toxic goitre
Eosinophil percentage decreased,C0948330,Basophil count decreased
Triple Negative Breast Neoplasms,C3539878,Eosinophil percentage decreased
Increased mean platelet volume,C1096367,Triple negative breast cancer
Degenerative skin disorder,C0342981,Mean platelet volume increased
Infiltration,C0332448,Skin degenerative disorder
Metastatic malignant neoplasm to bone marrow,C0346979,Tissue infiltration
Blood gastrin increased,C0853890,Metastases to bone marrow
Cortisol increased,C0541847,Blood gastrin increased
Proliferative glomerulonephritis,C0235618,Cortisol increased
Wrong dose,C4524239,Glomerulonephritis proliferative
Exposure to unspecified agent,C3544187,Wrong dose
Diffuse mesangial sclerosis (disorder),C0268747,Exposure to unspecified agent
Intercapillary glomerulosclerosis,C0333495,Diffuse mesangial sclerosis
Vascular bypass dysfunction,C0877321,Intercapillary glomerulosclerosis
Computerised tomogram kidney abnormal,C3267060,Vascular bypass dysfunction
Dermoid Cyst,C0011649,Computerised tomogram kidney abnormal
Venous aneurysm,C0948017,Dermoid cyst
Instillation site erythema,C1504440,Venous aneurysm
Instillation site swelling,C3665763,Instillation site erythema
Loss of hypoglycemic warning due to diabetes mellitus,C0342317,Instillation site swelling
Congenital anomaly of skin,C0037268,Hypoglycaemia unawareness
Cytogenetic analysis abnormal,C1167962,Skin malformation
Acute cardiac event,C4552344,Cytogenetic analysis abnormal
Hepatitis A antibody abnormal,C0853666,Acute cardiac event
Decreased drug tolerance,C0521854,Hepatitis A antibody abnormal
Metastatic well-differentiated neuroendocrine tumor,C1334715,Drug tolerance decreased
Microvillus inclusion disease,C0341306,Metastatic carcinoid tumour
Adrenocorticotropic hormone (ACTH) deficiency (disorder),C0342388,Microvillous inclusion disease
Female sexual dysfunction,C1112442,Adrenocorticotropic hormone deficiency
Edema blister,C4524081,Female sexual dysfunction
Severe invasive streptococcal infection,C3495859,Oedema blister
Lip Neoplasms,C0023761,Severe invasive streptococcal infection
Creatinine urine decreased,C1096344,Lip neoplasm
Total iron binding capacity below reference range,C0580419,Creatinine urine decreased
Acquired cardiac septal defect,C0155715,Iron binding capacity total decreased
Mesenteric artery stenosis,C0853208,Cardiac septal defect
Mesenteric artery stent insertion,C3203477,Mesenteric artery stenosis
Genitourinary symptom,C0426317,Mesenteric artery stent insertion
Carcinoma in situ of stomach,C0154060,Genitourinary symptom
"Hematoma, Epidural, Cranial",C0238154,Gastric cancer stage 0
Embolism of iliac artery,C0264979,Epidural haemorrhage
Pulmonary arterial pressure abnormal,C1168116,Iliac artery embolism
Broncho-esophageal fistula,C0267094,Pulmonary arterial pressure abnormal
Type III immune complex mediated reaction,C1096071,Oesophagobronchial fistula
Dose calculation error,C4049245,Type III immune complex mediated reaction
Lack of spontaneous speech,C0855217,Dose calculation error
Post-injection delirium sedation syndrome,C3544358,Lack of spontaneous speech
Keratic precipitates,C0423285,Post-injection delirium sedation syndrome
Pathologic myopia,C3537442,Keratic precipitates
Activated partial thromboplastin time shortened,C0853224,Pathologic myopia
Basophil percentage decreased,C0948329,Activated partial thromboplastin time shortened
Specific gravity urine decreased,C0919787,Basophil percentage decreased
Irregular sleep wake rhythm disorder,C4524237,Specific gravity urine decreased
Cementoplasty,C2938992,Irregular sleep wake rhythm disorder
Lithiasis,C0023869,Cementoplasty
Duodenal ulcer repair,C0743307,Lithiasis
Device dispensing error,C2938863,Duodenal ulcer repair
Tumefactive multiple sclerosis,C4285814,Device dispensing error
Fournier Gangrene,C0238419,Tumefactive multiple sclerosis
Idiopathic basal ganglia calcification 1,C4551624,Fournier's gangrene
Ulcer of scrotum,C0268948,Primary familial brain calcification
Fungal test positive,C1167761,Scrotal ulcer
Malignant melanoma stage III,C0855027,Fungal test positive
Very low density lipoprotein increased,C0853086,Malignant melanoma stage III
Intestinal intraepithelial lymphocytes increased,C3854615,Very low density lipoprotein increased
B-lymphocyte count increased,C1168018,Intestinal intraepithelial lymphocytes increased
CD20 antigen positive,C3888518,B-lymphocyte count increased
Clostridium test negative,C2748229,CD20 antigen positive
"Gastritis, Hypertrophic",C0017155,Clostridium test negative
Gastrointestinal mucosal exfoliation,C2242503,Gastric mucosal hypertrophy
Parasite stool test negative,C0853300,Gastrointestinal mucosal exfoliation
Parenteral Nutrition,C0030547,Parasite stool test negative
Splenic neoplasm malignancy unspecified,C0948980,Parenteral nutrition
Fasting,C0015663,Splenic neoplasm malignancy unspecified
Rheumatic Heart Disease,C0035439,Fasting
Disruptive mood dysregulation disorder,C4065471,Rheumatic heart disease
Product administration interrupted,C4728009,Disruptive mood dysregulation disorder
Meningeal Neoplasms,C0025284,Product administration interrupted
Urethral Neoplasms,C0041971,Meningeal neoplasm
Anti-transglutaminase antibody increased,C3267039,Urethral neoplasm
Haemorrhagic tumour necrosis,C0919577,Anti-transglutaminase antibody increased
Splenic hematoma,C0347634,Haemorrhagic tumour necrosis
Benign neoplasm of liver,C0496870,Splenic haematoma
Sensitive skin,C4228089,Benign hepatic neoplasm
Squamous cell carcinoma of lip,C0280302,Sensitive skin
Edema of vulva,C0269221,Lip squamous cell carcinoma
Injury of diaphragm,C0434014,Vulval oedema
Symptom recurrence,C4524105,Diaphragmatic injury
Throat clearing,C0234771,Symptom recurrence
Cytomegalovirus gastrointestinal infection,C0948485,Throat clearing
"Ecthyma, Contagious",C0013570,Cytomegalovirus gastrointestinal infection
Shunt thrombosis,C1142175,Orf
Perineal rash,C0240718,Shunt thrombosis
Superficial spreading melanoma stage I,C0855030,Perineal rash
Administration site extravasation,C3888593,Superficial spreading melanoma stage I
